,cidade,bairro,estado,tipo_imovel,m2,quartos,suites,banheiros,vagas,preco
122, Balneário Camboriú ,Nações , SC,Apartamento,67.17,2,2,1,1,854783.6
123, Balneário Camboriú ,Nações , SC,Apartamento,65.7,2,1,1,1,797317.38
124, Balneário Camboriú ,Nações , SC,Apartamento,67.17,2,2,1,1,861965.34
125, Balneário Camboriú ,Nações , SC,Apartamento,65.7,2,1,1,1,804502.05
126, Balneário Camboriú ,Pioneiros , SC,Apartamento,146.34,4,4,1,3,2567445.73
127, Balneário Camboriú ,Pioneiros , SC,Apartamento,146.34,4,4,1,3,2567445.73
128, Balneário Camboriú ,Pioneiros , SC,Apartamento,132.19,3,3,1,2,2464141.1
129, Balneário Camboriú ,Centro , SC,Apartamento,177.78,4,4,1,3,5360000.0
130, Balneário Camboriú ,Centro , SC,Apartamento,178.17,4,4,5,3,5360000.0
131, Balneário Camboriú ,Centro , SC,Apartamento,178.17,4,4,5,3,5580000.0
132, Balneário Camboriú ,Centro , SC,Apartamento,171.66,4,4,5,3,5580000.0
133, Balneário Camboriú ,Centro , SC,Apartamento,177.78,4,4,1,3,5120000.0
134, Balneário Camboriú ,Centro , SC,Apartamento,171.66,4,4,5,3,5120000.0
135, Balneário Camboriú ,Centro , SC,Apartamento,146.0,4,2,1,3,2300000.0
136, Balneário Camboriú ,Centro , SC,Apartamento,146.0,4,2,1,3,2990000.0
137, Balneário Camboriú ,Centro , SC,Apartamento,146.0,4,2,1,3,2260000.0
138, Balneário Camboriú ,Centro , SC,Apartamento,146.0,4,2,1,3,2300000.0
139, Balneário Camboriú ,Centro , SC,Apartamento,143.43,4,4,1,3,3857000.0
140, Balneário Camboriú ,Centro , SC,Apartamento,222.85,5,5,1,4,4604000.0
141, Balneário Camboriú ,Centro , SC,Apartamento,188.99,4,4,1,3,4733000.0
143, Balneário Camboriú ,Centro , SC,Apartamento,138.07,4,4,1,3,2850000.0
144, Balneário Camboriú ,Centro , SC,Apartamento,238.68,5,5,1,4,4830000.0
145, Balneário Camboriú ,Centro , SC,Apartamento,135.6,3,3,4,3,2050000.0
147, Itajaí ,Praia Brava , SC,Apartamento,151.97,3,3,1,3,3564120.0
148, Itajaí ,Praia Brava , SC,Apartamento,361.58,4,4,1,4,7091211.98
149, Itajaí ,Praia Brava , SC,Apartamento,231.9,3,3,1,3,4572215.0
150, Itajaí ,Praia Brava , SC,Apartamento,548.14,4,4,1,3,8209224.83
151, Balneário Camboriú ,Centro , SC,Apartamento,138.07,4,4,1,3,3070000.0
152, Balneário Camboriú ,Centro , SC,Apartamento,182.59,4,4,1,3,3307000.0
153, Balneário Camboriú ,Centro , SC,Apartamento,135.6,3,3,4,3,2000000.0
154, Balneário Camboriú ,Centro , SC,Apartamento,122.3,3,3,1,2,1610000.0
155, Balneário Camboriú ,Centro , SC,Apartamento,138.07,4,4,1,3,2970000.0
156, Balneário Camboriú ,Centro , SC,Apartamento,91.9,2,2,2,1,1350000.0
157, Balneário Camboriú ,Centro , SC,Apartamento,135.6,3,3,4,3,2070000.0
158, Balneário Camboriú ,Centro , SC,Apartamento,135.6,3,3,4,3,2220000.0
159, Balneário Camboriú ,Centro , SC,Apartamento,138.07,4,4,1,3,3180000.0
160, Balneário Camboriú ,Centro , SC,Apartamento,135.6,3,3,4,3,2170000.0
161, Balneário Camboriú ,Centro , SC,Apartamento,138.07,4,4,1,3,3510000.0
162, Balneário Camboriú ,Centro , SC,Apartamento,138.07,4,4,1,3,2960000.0
163, Balneário Camboriú ,Centro , SC,Apartamento,182.59,4,4,1,3,3205000.0
164, Balneário Camboriú ,Centro , SC,Apartamento,143.43,4,4,1,3,3976000.0
165, Balneário Camboriú ,Centro , SC,Apartamento,188.99,4,4,1,3,4619000.0
166, Balneário Camboriú ,Centro , SC,Apartamento,188.99,4,4,1,3,4542000.0
167, Balneário Camboriú ,Centro , SC,Apartamento,188.99,4,4,1,3,5206000.0
168, Balneário Camboriú ,Centro , SC,Apartamento,143.43,4,4,1,3,3178000.0
169, Balneário Camboriú ,Centro , SC,Apartamento,143.43,4,4,1,3,3615000.0
175, Balneário Camboriú ,Centro , SC,Apartamento,170.6,4,4,1,3,4396965.45
176, Balneário Camboriú ,Centro , SC,Apartamento,150.48,4,4,1,3,2106023.17
177, Balneário Camboriú ,Centro , SC,Apartamento,214.49,4,4,1,3,4396965.45
178, Balneário Camboriú ,Centro , SC,Apartamento,140.15,4,2,1,2,2377515.7
181, Balneário Camboriú ,Centro , SC,Apartamento,150.48,4,4,1,3,2126569.74
184, Balneário Camboriú ,Centro , SC,Apartamento,150.48,4,4,1,3,2718112.04
185, Balneário Camboriú ,Centro , SC,Apartamento,170.6,4,4,1,3,4684617.39
186, Balneário Camboriú ,Centro , SC,Apartamento,150.48,4,4,1,3,2301215.56
187, Balneário Camboriú ,Pioneiros , SC,Apartamento,130.75,3,3,1,2,3050000.0
188, Balneário Camboriú ,Santa Regina , SC,Casa,309.0,4,4,5,4,2900000.0
190, Balneário Camboriú ,Centro , SC,Apartamento,131.77,4,2,3,3,3950000.0
191, Itajaí ,Praia Brava , SC,Apartamento,64.61,2,1,1,1,937050.08
192, Itajaí ,Praia Brava , SC,Apartamento,64.61,2,1,1,2,918835.28
193, Balneário Camboriú ,Centro , SC,Apartamento,123.22,3,3,1,2,2293054.26
194, Balneário Camboriú ,Centro , SC,Apartamento,172.99,3,3,1,2,2991407.31
195, Balneário Camboriú ,Centro , SC,Apartamento,175.55,3,3,4,3,3234790.0
196, Balneário Camboriú ,Centro , SC,Apartamento,367.25,5,5,6,6,7822250.0
198, Balneário Camboriú ,Centro , SC,Apartamento,152.15,4,4,1,2,2301214.88
199, Balneário Camboriú ,Centro , SC,Apartamento,120.11,3,3,4,2,1980000.0
200, Balneário Camboriú ,Centro , SC,Apartamento,123.22,3,3,1,2,2376347.09
201, Balneário Camboriú ,Centro , SC,Apartamento,175.55,3,3,4,3,3269900.0
202, Balneário Camboriú ,Centro , SC,Apartamento,175.55,3,3,4,3,3585890.0
203, Balneário Camboriú ,Centro , SC,Apartamento,175.55,3,3,4,3,3691220.0
204, Balneário Camboriú ,Centro , SC,Apartamento,175.55,3,3,4,3,3726330.0
205, Balneário Camboriú ,Centro , SC,Apartamento,368.89,5,5,6,6,8963360.0
206, Balneário Camboriú ,Quadra Mar , SC,Apartamento,182.11,4,4,4,3,8250000.0
207, Camboriú ,Tabuleiro , SC,Apartamento,95.0,3,1,2,2,780000.0
208, Balneário Camboriú ,Centro , SC,Apartamento,80.0,2,1,2,1,980000.0
209, Balneário Camboriú ,Centro , SC,Apartamento,77.0,2,2,2,1,950000.0
210, Itajaí ,Praia Brava , SC,Apartamento,350.0,5,5,5,5,12800000.0
211, Itajaí ,Praia Brava , SC,Apartamento,203.53,4,4,4,2,7000000.0
212, Balneário Camboriú ,Centro , SC,Apartamento,162.0,3,3,4,3,2850000.0
213, Balneário Camboriú ,Centro , SC,Apartamento,133.0,3,3,4,4,2490000.0
214, Balneário Camboriú ,Centro , SC,Apartamento,122.94,3,3,3,3,2850000.0
215, Balneário Camboriú ,Quadra Mar Barra Sul , SC,Cobertura,245.93,3,3,5,5,4990000.0
216, Balneário Camboriú ,Quadra Mar Barra Sul , SC,Apartamento,254.27,3,3,4,4,3490000.0
217, Balneário Camboriú ,Centro , SC,Apartamento,162.0,3,3,5,3,2850000.0
218, Balneário Camboriú ,Quadra Mar Barra Sul , SC,Apartamento,128.04,3,3,5,3,2750000.0
219, Balneário Camboriú ,Centro , SC,Apartamento,122.94,3,3,4,3,2750000.0
221, Balneário Camboriú ,Quadra Mar Barra Sul , SC,Apartamento,128.04,3,3,5,3,2650000.0
222, Balneário Camboriú ,Barra , SC,Apartamento,100.0,2,1,2,1,700000.0
223, Balneário Camboriú ,Nações , SC,Apartamento,63.0,2,1,2,1,850000.0
224, Balneário Camboriú ,Centro , SC,Apartamento,173.79,4,4,5,3,3151325.0
226, Balneário Camboriú ,Centro , SC,Apartamento,222.39,4,4,5,4,3854700.0
227, Balneário Camboriú ,Centro , SC,Apartamento,139.16,3,3,3,3,2800000.0
228, Balneário Camboriú ,Centro , SC,Apartamento,153.71,3,3,4,2,2600000.0
229, Balneário Camboriú ,Centro , SC,Apartamento,129.61,3,3,4,2,2050000.0
230, Balneário Camboriú ,Centro , SC,Apartamento,132.59,3,3,4,2,2100000.0
231, Balneário Camboriú ,Centro , SC,Apartamento,129.61,3,3,4,2,2050000.0
232, Balneário Camboriú ,Centro , SC,Apartamento,132.3,3,3,4,2,2150000.0
233, Balneário Camboriú ,Centro , SC,Apartamento,173.79,4,4,5,3,3203462.0
234, Balneário Camboriú ,Centro , SC,Apartamento,173.79,4,4,5,3,3585800.0
235, Balneário Camboriú ,Centro , SC,Cobertura,264.15,4,4,1,4,4900000.0
238, Balneário Camboriú ,Centro , SC,Apartamento,229.2,3,3,4,4,3895330.0
239, Balneário Camboriú ,Centro , SC,Apartamento,173.79,4,4,5,3,3099188.0
240, Balneário Camboriú ,Centro , SC,Apartamento,172.0,3,3,4,3,5190000.0
241, Balneário Camboriú ,Pioneiros , SC,Apartamento,126.85,3,3,1,2,2200000.0
242, Balneário Camboriú ,Pioneiros , SC,Apartamento,126.85,3,3,1,2,2500000.0
243, Balneário Camboriú ,Centro , SC,Apartamento,230.86,4,4,4,4,11750000.0
245, Balneário Camboriú ,Centro , SC,Apartamento,146.85,4,2,3,3,2050000.0
246, Balneário Camboriú ,Centro , SC,Apartamento,137.0,4,2,3,3,2590000.0
247, Balneário Camboriú ,Centro , SC,Apartamento,120.57,3,3,4,3,2500000.0
250, Balneário Camboriú ,Centro , SC,Apartamento,113.68,2,1,2,1,1190000.0
251, Balneário Camboriú ,Pioneiros , SC,Apartamento,136.69,4,4,1,2,2700000.0
252, Balneário Camboriú ,Pioneiros , SC,Apartamento,136.69,4,4,1,2,2300000.0
253, Balneário Camboriú ,Pioneiros , SC,Apartamento,136.69,4,4,1,2,2550000.0
256, Balneário Camboriú ,Centro , SC,Apartamento,160.41,4,4,6,4,6900000.0
258, Camboriú ,São Francisco de Assis , SC,Sobrado,112.0,3,3,3,1,850000.0
259, Camboriú ,Tabuleiro , SC,Apartamento,95.57,2,1,2,1,620000.0
260, Balneário Camboriú ,Centro , SC,Apartamento,93.17,2,2,1,2,1450000.0
261, Itajaí ,Praia Brava , SC,Apartamento,226.07,4,4,1,4,9222179.78
262, Itajaí ,Praia Brava , SC,Apartamento,226.07,4,4,1,4,9325179.16
263, Balneário Camboriú ,Centro , SC,Apartamento,93.17,2,2,1,2,1450000.0
264, Balneário Camboriú ,Centro , SC,Apartamento,80.2,3,1,2,1,790000.0
265, Balneário Camboriú ,Centro , SC,Apartamento,165.0,4,4,5,3,3450000.0
266, Balneário Camboriú ,Centro , SC,Cobertura,242.3,4,4,5,2,2700000.0
267, Balneário Camboriú ,Centro , SC,Apartamento,130.0,3,3,4,2,1800000.0
268, Balneário Camboriú ,Centro , SC,Apartamento,136.0,3,3,3,3,2400000.0
269, Balneário Camboriú ,Centro , SC,Apartamento,128.0,3,1,2,1,1000000.0
270, Balneário Camboriú ,Centro , SC,Apartamento,68.83,2,1,2,1,950000.0
271, Balneário Camboriú ,Barra Sul , SC,Apartamento,157.0,3,3,4,2,7300000.0
272, Balneário Camboriú ,Pioneiros , SC,Apartamento,130.75,3,3,1,2,2750000.0
273, Itajaí ,Praia Brava , SC,Apartamento,74.03,2,1,1,2,741000.0
276, Balneário Camboriú ,Centro , SC,Apartamento,122.35,3,3,3,3,1895000.0
278, Balneário Camboriú ,Pioneiros , SC,Apartamento,146.0,4,4,1,3,3350500.0
279, Balneário Camboriú ,Pioneiros , SC,Apartamento,296.2,4,4,1,4,8550800.0
280, Balneário Camboriú ,Pioneiros , SC,Apartamento,146.0,4,4,1,3,3450800.0
283, Balneário Camboriú ,Centro , SC,Apartamento,146.52,4,2,1,3,5928000.0
294, Balneário Camboriú ,Centro , SC,Apartamento,190.0,4,4,1,3,4136399.12
295, Balneário Camboriú ,Centro , SC,Apartamento,190.0,4,4,1,3,4065346.48
296, Balneário Camboriú ,Pioneiros , SC,Apartamento,133.52,3,3,4,3,3550000.0
297, Balneário Camboriú ,Centro , SC,Apartamento,190.0,4,4,1,3,4088699.67
298, Balneário Camboriú ,Centro , SC,Apartamento,190.0,4,4,1,3,4100333.06
299, Balneário Camboriú ,Centro , SC,Apartamento,190.0,4,4,1,3,4115102.21
300, Balneário Camboriú ,Centro , SC,Apartamento,190.0,4,4,1,3,4149253.39
301, Balneário Camboriú ,Centro , SC,Apartamento,190.0,4,4,1,3,4053626.68
302, Balneário Camboriú ,Centro , SC,Apartamento,190.0,4,4,1,3,4791600.0
305, Balneário Camboriú ,Ariribá , SC,Sobrado,150.0,3,1,2,2,1100000.0
306, Camboriú ,Centro , SC,Apartamento,70.35,2,2,1,1,706929.36
307, Balneário Camboriú ,Pioneiros , SC,Apartamento,140.0,3,1,3,4,1700000.0
308, Itajaí ,Praia Brava , SC,Apartamento,56.18,2,1,1,2,637000.0
309, Itajaí ,Praia Brava , SC,Apartamento,59.81,2,1,1,2,652000.0
310, Itajaí ,Praia Brava , SC,Apartamento,65.19,2,1,1,2,695000.0
311, Balneário Camboriú ,Pioneiros , SC,Cobertura,268.0,3,3,4,4,5450000.0
312, Balneário Camboriú ,Centro , SC,Apartamento,100.0,3,1,2,1,1550000.0
313, Balneário Camboriú ,Pioneiros , SC,Apartamento,233.22,4,4,1,3,6023000.0
314, Itajaí ,Praia Brava , SC,Apartamento,80.25,2,1,1,2,1013204.09
315, Itajaí ,Praia Brava , SC,Apartamento,80.63,3,1,1,2,987344.21
316, Itajaí ,Praia Brava , SC,Apartamento,98.72,3,3,1,2,2276567.58
317, Itajaí ,Praia Brava , SC,Apartamento,224.79,4,4,1,3,4953902.86
318, Itajaí ,Praia Brava , SC,Apartamento,289.9,4,4,1,5,6029819.43
319, Itajaí ,Praia Brava , SC,Apartamento,152.8,3,3,1,2,3407319.03
320, Itajaí ,Praia Brava , SC,Apartamento,144.8,3,3,1,3,3212904.27
321, Balneário Camboriú ,Pioneiros , SC,Cobertura,251.0,3,3,4,5,6500000.0
322, Balneário Camboriú ,Centro , SC,Apartamento,123.22,3,3,1,2,2222000.0
323, Balneário Camboriú ,Centro , SC,Apartamento,139.0,3,3,4,1,3900000.0
324, Balneário Camboriú ,Barra Sul , SC,Apartamento,160.41,4,4,5,3,5800000.0
325, Balneário Camboriú ,Centro , SC,Apartamento,146.8,3,3,1,2,4650000.0
326, Balneário Camboriú ,Centro , SC,Apartamento,171.66,4,4,1,3,5800000.0
327, Balneário Camboriú ,Barra Sul , SC,Apartamento,160.41,4,4,5,3,6000000.0
328, Balneário Camboriú ,Centro , SC,Apartamento,155.0,3,3,4,3,2380000.0
329, Balneário Camboriú ,Centro , SC,Apartamento,190.17,3,3,4,2,1800000.0
330, Balneário Camboriú ,Centro , SC,Apartamento,98.41,3,1,1,2,1536150.0
331, Balneário Camboriú ,Centro , SC,Apartamento,96.97,3,1,1,2,1547700.0
332, Balneário Camboriú ,Centro , SC,Apartamento,98.41,3,1,1,2,1466850.0
333, Balneário Camboriú ,Centro , SC,Apartamento,96.97,3,1,1,2,1443750.0
334, Balneário Camboriú ,Centro , SC,Apartamento,106.41,3,1,1,4,1710940.0
335, Balneário Camboriú ,Centro , SC,Apartamento,123.71,3,1,1,2,1756920.0
336, Balneário Camboriú ,Centro , SC,Apartamento,127.14,3,1,1,2,1569370.0
341, Balneário Camboriú ,Ariribá , SC,Apartamento,200.0,4,4,5,3,2000000.0
342, Balneário Camboriú ,Ariribá , SC,Apartamento,200.0,4,4,5,3,2000000.0
343, Balneário Camboriú ,Centro , SC,Apartamento,146.0,4,2,1,3,2750000.0
344, Balneário Camboriú ,Centro , SC,Apartamento,146.0,4,2,1,3,2550000.0
345, Balneário Camboriú ,Praia dos Amores , SC,Apartamento,81.77,2,1,1,2,1084260.0
346, Balneário Camboriú ,Praia dos Amores , SC,Apartamento,81.77,2,1,1,2,1123352.54
347, Balneário Camboriú ,Praia dos Amores , SC,Apartamento,64.0,1,1,1,1,870750.22
354, Balneário Camboriú ,Taquaras , SC,Casa,351.15,4,3,4,3,5900000.0
372, Balneário Camboriú ,Praia dos Amores , SC,Apartamento,64.0,1,1,1,1,844220.0
375, Balneário Camboriú ,Praia dos Amores , SC,Apartamento,81.77,2,1,1,2,1090304.4
376, Balneário Camboriú ,Praia dos Amores , SC,Apartamento,62.29,1,1,1,1,793800.0
378, Balneário Camboriú ,Centro , SC,Apartamento,179.36,3,1,2,2,1390000.0
379, Balneário Camboriú ,Frente Mar Barra Sul , SC,Cobertura,475.0,6,6,8,6,24900000.0
380, Balneário Camboriú ,Centro , SC,Apartamento,68.0,2,1,2,1,865000.0
381, Balneário Camboriú ,Centro , SC,Apartamento,76.56,3,1,2,2,990000.0
382, Balneário Camboriú ,Centro , SC,Apartamento,76.56,3,1,2,2,990000.0
