,cidade,bairro,estado,tipo_imovel,m2,quartos,suites,banheiros,vagas,preco
467, Balneário Camboriú ,Centro , SC,Apartamento,120.54,3,3,4,2,2906000.0
468, Balneário Camboriú ,Centro , SC,Apartamento,92.7,3,1,1,2,1495000.0
469, Balneário Camboriú ,Centro , SC,Apartamento,139.0,3,3,1,2,2690000.0
470, Balneário Camboriú ,Centro , SC,Apartamento,143.48,4,4,1,3,2800000.0
471, Balneário Camboriú ,Pontal Norte , SC,Apartamento,174.0,4,4,5,4,4280800.0
472, Balneário Camboriú ,Centro , SC,Apartamento,177.1,4,4,1,3,4700000.0
473, Balneário Camboriú ,Centro , SC,Apartamento,120.0,3,3,1,2,1800000.0
474, Balneário Camboriú ,Morretes , SC,Apartamento,67.33,1,1,2,1,574414.0
475, Balneário Camboriú ,Centro , SC,Apartamento,98.0,2,1,3,2,1450000.0
476, Balneário Camboriú ,Centro , SC,Apartamento,143.0,4,2,3,3,2840800.0
477, Balneário Camboriú ,Centro , SC,Apartamento,129.8,3,3,1,3,2250000.0
479, Balneário Camboriú ,Centro , SC,Apartamento,185.0,4,2,1,3,3050000.0
480, Balneário Camboriú ,Centro , SC,Apartamento,133.0,4,2,1,3,2800000.0
483, Balneário Camboriú ,Centro , SC,Apartamento,146.0,4,2,1,3,2550000.0
484, Balneário Camboriú ,Centro , SC,Apartamento,159.94,3,3,1,3,4800000.0
485, Balneário Camboriú ,Barra Norte , SC,Cobertura,262.0,3,3,3,7,4500000.0
486, Balneário Camboriú ,Centro , SC,Apartamento,143.73,4,2,1,3,2840800.0
487, Balneário Camboriú ,Centro , SC,Apartamento,98.41,3,1,1,2,1501500.0
488, Balneário Camboriú ,Centro , SC,Apartamento,96.97,3,1,1,2,1478400.0
489, Balneário Camboriú ,Centro , SC,Apartamento,122.7,3,3,1,3,2150000.0
490, Balneário Camboriú ,Centro , SC,Apartamento,143.48,4,4,1,3,2700000.0
491, Balneário Camboriú ,Centro , SC,Apartamento,177.1,4,4,1,3,4550000.0
492, Balneário Camboriú ,Centro , SC,Apartamento,120.0,3,3,1,3,1900000.0
497, Balneário Camboriú ,Centro , SC,Apartamento,106.41,3,1,1,2,1657700.0
498, Balneário Camboriú ,Centro , SC,Apartamento,127.14,3,1,1,4,1808950.0
499, Balneário Camboriú ,Centro , SC,Apartamento,147.01,3,1,1,2,1976535.0
503, Balneário Camboriú ,Centro , SC,Apartamento,240.0,3,3,1,2,3500000.0
504, Balneário Camboriú ,Centro , SC,Apartamento,189.32,3,1,1,2,2201850.0
505, Balneário Camboriú ,Centro , SC,Apartamento,149.48,4,2,1,3,2400000.0
506, Balneário Camboriú ,Centro , SC,Apartamento,149.48,4,2,1,3,2400000.0
508, Balneário Camboriú ,Centro , SC,Apartamento,171.0,4,4,1,3,4100000.0
509, Balneário Camboriú ,Barra Sul , SC,Apartamento,257.0,4,4,6,3,9000000.0
512, Balneário Camboriú ,Ariribá , SC,Casa,185.0,3,1,1,4,950000.0
513, Balneário Camboriú ,Centro , SC,Apartamento,185.63,3,3,4,4,6950000.0
514, Balneário Camboriú ,Centro , SC,Apartamento,80.0,2,1,2,1,820000.0
515, Camboriú ,São Francisco de Assis , SC,Apartamento,73.94,2,1,1,1,659798.25
516, Balneário Camboriú ,Centro , SC,Apartamento,126.11,3,3,3,2,1731000.0
517, Balneário Camboriú ,Quadra Mar , SC,Apartamento,178.17,4,4,5,3,4710000.0
518, Balneário Camboriú ,Centro , SC,Apartamento,74.0,2,1,2,1,850000.0
519, Balneário Camboriú ,Centro , SC,Apartamento,258.0,4,4,4,2,5200000.0
520, Balneário Camboriú ,Centro , SC,Apartamento,144.0,4,4,3,3,3750000.0
522, Balneário Camboriú ,Barra , SC,Casa,753.0,5,5,8,5,8500000.0
523, Camboriú ,Tabuleiro , SC,Apartamento,143.5,3,1,2,2,850000.0
524, Balneário Camboriú ,Centro , SC,Apartamento,100.0,3,1,2,2,2200000.0
525, Balneário Camboriú ,Centro , SC,Apartamento,92.0,3,1,2,2,1150000.0
526, Itajaí ,Praia Brava , SC,Apartamento,350.0,5,5,5,5,12500000.0
527, Balneário Camboriú ,Frente Mar Barra Sul , SC,Cobertura,600.0,6,6,6,4,21400000.0
528, Balneário Camboriú ,Centro , SC,Apartamento,143.0,3,1,2,2,1390000.0
529, Balneário Camboriú ,Centro , SC,Apartamento,170.0,4,4,4,3,4500000.0
530, Balneário Camboriú ,Centro , SC,Apartamento,181.0,4,4,6,3,2986500.0
531, Balneário Camboriú ,Barra Sul , SC,Cobertura,232.0,4,2,3,2,3000000.0
533, Balneário Camboriú ,Barra Sul , SC,Cobertura,308.57,4,4,4,4,7200000.0
534, Itajaí ,Bairro Fazenda , SC,Apartamento,165.4,4,4,4,3,1750000.0
535, Balneário Camboriú ,Centro , SC,Apartamento,135.6,3,3,3,3,1930000.0
536, Balneário Camboriú ,Centro , SC,Apartamento,131.39,4,4,4,3,2980000.0
537, Balneário Camboriú ,Frente Mar , SC,Apartamento,237.0,4,4,4,2,9100000.0
